Power;Speed;Avizo_Porosity_Mean;Avizo_Porosity_Std;Archimedes_porosity_Mean;Archimedes_porosity_Std;Pore_quantity_Sum;Diameter_Avizo_Mean;Diameter_Avizo_Std;Projected_Pore_area_Avg;Projected_Pore_area_Max;Projected_Pore_area_Sum;Sphericity_Avizo_Mean;Sphericity_Avizo_Std;Roughness_Avg_Mean;Roughness_Avg_Std;Roughness_RMS_Mean;Roughness_RMS_Std;Grain_diameter_Mean;Grain_diameter_Std;Grain_aspect_Mean;Grain_aspect_Std;Vicker_Mean;Vicker_Std;Strength_Mean;Strength_Std;Yield_mean;Yield_Std;Uniform_Mean;Uniform_Std;Ductility_Mean;Ductility_Std;Youngs_Modulus_Mean;Youngs_Modulus_Std
275;800;0.8774;0.0452;1.3189;0.8816;44006;50;15;3798;758200;280158800;0.98;0.04;12.69;1.80;15.70;2.20;204;114.06;1.92;0.66;358;26;1021 ;6 ;942 ;10 ;6.15 ;0.08 ;10.70 ;0.76 ;112;5.35 
275;760;1.9382;0.1495;1.8791;0.8775;57383;52;16;3885;602800;287163500;0.97;0.05;11.99;1.67;14.36;2.64;205;105.15;1.98;0.74;375;14;1008 ;7 ;931 ;12 ;5.81 ;0.21 ;9.19 ;1.06 ;108;4.31 
275;720;2.3027;0.5489;2.1131;0.8748;57874;52;17;4046;1547400;339011800;0.97;0.05;15.26;3.16;19.20;3.19;188;88.09;1.88;0.60;354;10;992 ;16 ;904 ;35 ;6.13 ;0.64 ;8.98 ;0.69 ;109;11.88 
275;680;1.6876;0.1638;2.3318;0.8728;67526;52;18;4413;1141000;415251300;0.97;0.05;14.38;5.20;18.71;5.98;167;63.48;1.89;0.58;378;19;1009 ;20 ;929 ;21 ;5.52 ;0.17 ;8.50 ;1.33 ;108;4.15 
275;640;2.0607;0.0928;2.5762;0.8700;93003;50;17;4040;1715500;533824800;0.96;0.06;15.84;4.15;19.99;4.31;168;63.83;1.89;0.58;371;10;995 ;27 ;914 ;35 ;5.37 ;0.38 ;7.23 ;1.22 ;113;11.39 
275;600;1.7519;0.1885;2.7962;0.8677;62355;53;19;4468;1165300;456754200;0.97;0.05;16.07;2.80;20.15;2.73;173;63.24;1.91;0.61;378;12;982 ;14 ;892 ;44 ;5.27 ;0.32 ;6.95 ;0.54 ;128;42.53 
275;840;1.2318;0.0008;1.2031;0.8836;56069;50;15;3448;475800;208074000;0.98;0.05;12.23;2.45;14.84;1.76;171;63.60;1.89;0.60;388;29;1038 ;8 ;960 ;13 ;6.06 ;0.25 ;10.76 ;0.78 ;113;6.59 
275;880;1.1349;0.0489;1.0150;0.8853;50236;49;14;3237;515500;165683600;0.98;0.05;11.49;2.00;14.44;1.11;164;61.60;1.88;0.60;372;15;1053 ;9 ;974 ;19 ;6.13 ;0.16 ;11.87 ;1.03 ;117;10.02 
275;920;0.5741;0.0222;0.8406;0.8877;35273;47;13;3240;402800;128806200;0.99;0.04;12.00;2.73;14.89;2.55;185;71.14;1.88;0.57;380;26;1058 ;7 ;984 ;13 ;5.92 ;0.26 ;12.35 ;0.91 ;113;3.20 
275;960;0.5011;0.0508;0.7168;0.8880;22806;47;12;2975;776500;85762600;0.99;0.03;10.83;1.45;14.02;1.62;202;104.82;2.05;0.74;350;11;1070 ;10 ;994 ;14 ;6.37 ;0.47 ;14.03 ;0.62 ;119;6.20 
275;1000;0.2838;0.0003;0.6633;0.8878;17670;45;11;3616;1293200;85191600;0.99;0.03;10.21;1.26;11.94;1.06;251;122.44;1.95;0.63;384;30;1081 ;17 ;1000 ;19 ;6.33 ;0.46 ;13.91 ;0.84 ;118;6.10 
175;800;0.7368;0.1135;1.0992;0.8835;42124;47;12;3594;330000;206992700;0.99;0.03;10.66;1.45;12.60;1.09;240;127.73;2.10;0.79;373;19;1091 ;22 ;1025 ;18 ;5.86 ;0.42 ;12.39 ;2.05 ;116;7.22 
195;800;0.5611;0.1192;1.1168;0.8839;41642;48;13;3507;672800;209442100;0.99;0.03;11.81;0.31;13.10;0.94;222;94.51;1.99;0.64;369;6;1085 ;21 ;1014 ;19 ;6.45 ;0.19 ;12.53 ;2.20 ;114;6.22 
